seed-> 4833
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4833, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='89_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='11:49:36')
alpha:20
scale 3:[375/1000], errG: -2.133893 ,output.mean(): 2.133893, rec_loss:0.007956
scale 3:[400/1000], errG: -2.148312 ,output.mean(): 2.148312, rec_loss:0.008740
scale 3:[425/1000], errG: -2.167212 ,output.mean(): 2.167212, rec_loss:0.007163
scale 3:[450/1000], errG: -2.198063 ,output.mean(): 2.198063, rec_loss:0.006915
scale 3:[475/1000], errG: -2.220674 ,output.mean(): 2.220674, rec_loss:0.006829
scale 3:[500/1000], errG: -2.245899 ,output.mean(): 2.245899, rec_loss:0.007154
scale 3:[525/1000], errG: -2.299489 ,output.mean(): 2.299489, rec_loss:0.006106
scale 3:[550/1000], errG: -2.202545 ,output.mean(): 2.202545, rec_loss:0.006407
scale 3:[575/1000], errG: -2.236888 ,output.mean(): 2.236888, rec_loss:0.006429
scale 3:[600/1000], errG: -2.239035 ,output.mean(): 2.239035, rec_loss:0.006075
scale 3:[625/1000], errG: -2.244669 ,output.mean(): 2.244669, rec_loss:0.006765
scale 3:[650/1000], errG: -2.120900 ,output.mean(): 2.120900, rec_loss:0.005333
scale 3:[675/1000], errG: -2.152628 ,output.mean(): 2.152628, rec_loss:0.005545
scale 3:[700/1000], errG: -2.144451 ,output.mean(): 2.144451, rec_loss:0.005571
scale 3:[725/1000], errG: -2.136154 ,output.mean(): 2.136154, rec_loss:0.005677
scale 3:[750/1000], errG: -2.104162 ,output.mean(): 2.104162, rec_loss:0.005760
scale 3:[775/1000], errG: -2.217800 ,output.mean(): 2.217800, rec_loss:0.005407
scale 3:[800/1000], errG: -2.071230 ,output.mean(): 2.071230, rec_loss:0.005106
scale 3:[825/1000], errG: -2.153364 ,output.mean(): 2.153364, rec_loss:0.005299
scale 3:[850/1000], errG: -2.102767 ,output.mean(): 2.102767, rec_loss:0.005067
scale 3:[875/1000], errG: -2.085027 ,output.mean(): 2.085027, rec_loss:0.004986
scale 3:[900/1000], errG: -2.142782 ,output.mean(): 2.142782, rec_loss:0.005211
scale 3:[925/1000], errG: -2.128353 ,output.mean(): 2.128353, rec_loss:0.004801
scale 3:[950/1000], errG: -2.125589 ,output.mean(): 2.125589, rec_loss:0.004714
scale 3:[975/1000], errG: -2.185119 ,output.mean(): 2.185119, rec_loss:0.005210
scale 3:[999/1000], errG: -2.113742 ,output.mean(): 2.113742, rec_loss:0.004705
Scale: 3, realD_loss: 1.836980 
alpha:20
scale 4:[0/1000], errG: 0.084866 ,output.mean(): -0.084866, rec_loss:0.452808
scale 4:[25/1000], errG: 0.071473 ,output.mean(): -0.071473, rec_loss:0.063744
scale 4:[50/1000], errG: 0.052123 ,output.mean(): -0.052123, rec_loss:0.043004
scale 4:[75/1000], errG: -0.080820 ,output.mean(): 0.080820, rec_loss:0.026647
scale 4:[100/1000], errG: -0.201298 ,output.mean(): 0.201298, rec_loss:0.020785
scale 4:[125/1000], errG: -0.282835 ,output.mean(): 0.282835, rec_loss:0.025246
scale 4:[150/1000], errG: -0.297952 ,output.mean(): 0.297952, rec_loss:0.020445
scale 4:[175/1000], errG: -0.302213 ,output.mean(): 0.302213, rec_loss:0.021650
scale 4:[200/1000], errG: -0.505876 ,output.mean(): 0.505876, rec_loss:0.019018
scale 4:[225/1000], errG: -0.721979 ,output.mean(): 0.721979, rec_loss:0.015745
scale 4:[250/1000], errG: -0.662018 ,output.mean(): 0.662018, rec_loss:0.010741
scale 4:[275/1000], errG: -0.822338 ,output.mean(): 0.822338, rec_loss:0.009719
