seed-> 8615
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/compare', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=8615, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='lr_noisy_0.1.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='00:26:20')
alpha:20
scale 2:[275/1000], errG: -3.383883 ,output.mean(): 3.383883, rec_loss:0.004300
scale 2:[300/1000], errG: -3.376902 ,output.mean(): 3.376902, rec_loss:0.004956
scale 2:[325/1000], errG: -3.454396 ,output.mean(): 3.454396, rec_loss:0.004156
scale 2:[350/1000], errG: -3.437647 ,output.mean(): 3.437647, rec_loss:0.002166
scale 2:[375/1000], errG: -3.356082 ,output.mean(): 3.356082, rec_loss:0.002719
scale 2:[400/1000], errG: -3.344870 ,output.mean(): 3.344870, rec_loss:0.002036
scale 2:[425/1000], errG: -3.338782 ,output.mean(): 3.338782, rec_loss:0.001733
scale 2:[450/1000], errG: -3.329871 ,output.mean(): 3.329871, rec_loss:0.001875
scale 2:[475/1000], errG: -3.301586 ,output.mean(): 3.301586, rec_loss:0.001547
scale 2:[500/1000], errG: -3.260664 ,output.mean(): 3.260664, rec_loss:0.002097
scale 2:[525/1000], errG: -3.333426 ,output.mean(): 3.333426, rec_loss:0.002099
scale 2:[550/1000], errG: -3.314258 ,output.mean(): 3.314258, rec_loss:0.002030
scale 2:[575/1000], errG: -3.455583 ,output.mean(): 3.455583, rec_loss:0.001421
scale 2:[600/1000], errG: -3.486589 ,output.mean(): 3.486589, rec_loss:0.001946
scale 2:[625/1000], errG: -3.466826 ,output.mean(): 3.466826, rec_loss:0.001161
scale 2:[650/1000], errG: -3.466542 ,output.mean(): 3.466542, rec_loss:0.001281
scale 2:[675/1000], errG: -3.390993 ,output.mean(): 3.390993, rec_loss:0.001597
scale 2:[700/1000], errG: -3.376503 ,output.mean(): 3.376503, rec_loss:0.001545
scale 2:[725/1000], errG: -3.385101 ,output.mean(): 3.385101, rec_loss:0.001698
scale 2:[750/1000], errG: -3.375050 ,output.mean(): 3.375050, rec_loss:0.001307
scale 2:[775/1000], errG: -3.394757 ,output.mean(): 3.394757, rec_loss:0.001503
scale 2:[800/1000], errG: -3.529653 ,output.mean(): 3.529653, rec_loss:0.001392
scale 2:[825/1000], errG: -3.446524 ,output.mean(): 3.446524, rec_loss:0.001304
scale 2:[850/1000], errG: -3.420848 ,output.mean(): 3.420848, rec_loss:0.001126
scale 2:[875/1000], errG: -3.336235 ,output.mean(): 3.336235, rec_loss:0.001028
scale 2:[900/1000], errG: -3.358075 ,output.mean(): 3.358075, rec_loss:0.001157
scale 2:[925/1000], errG: -3.366493 ,output.mean(): 3.366493, rec_loss:0.001627
scale 2:[950/1000], errG: -3.294988 ,output.mean(): 3.294988, rec_loss:0.001372
scale 2:[975/1000], errG: -3.284870 ,output.mean(): 3.284870, rec_loss:0.001480
scale 2:[999/1000], errG: -3.311799 ,output.mean(): 3.311799, rec_loss:0.001508
Scale: 2, realD_loss: 1.186225 
alpha:20
scale 3:[0/1000], errG: -2.851298 ,output.mean(): 2.851298, rec_loss:0.073550
scale 3:[25/1000], errG: -2.844743 ,output.mean(): 2.844743, rec_loss:0.009898
scale 3:[50/1000], errG: -2.827160 ,output.mean(): 2.827160, rec_loss:0.006916
scale 3:[75/1000], errG: -2.807707 ,output.mean(): 2.807707, rec_loss:0.005745
scale 3:[100/1000], errG: -2.945148 ,output.mean(): 2.945148, rec_loss:0.003629
scale 3:[125/1000], errG: -2.841481 ,output.mean(): 2.841481, rec_loss:0.002813
scale 3:[150/1000], errG: -2.871912 ,output.mean(): 2.871912, rec_loss:0.002578
scale 3:[175/1000], errG: -2.779780 ,output.mean(): 2.779780, rec_loss:0.002227
scale 3:[200/1000], errG: -2.821904 ,output.mean(): 2.821904, rec_loss:0.002330
scale 3:[225/1000], errG: -2.855756 ,output.mean(): 2.855756, rec_loss:0.002279
scale 3:[250/1000], errG: -2.831721 ,output.mean(): 2.831721, rec_loss:0.001922
scale 3:[275/1000], errG: -2.735734 ,output.mean(): 2.735734, rec_loss:0.001864
scale 3:[300/1000], errG: -2.676754 ,output.mean(): 2.676754, rec_loss:0.001738
scale 3:[325/1000], errG: -2.613038 ,output.mean(): 2.613038, rec_loss:0.001520
scale 3:[350/1000], errG: -2.649088 ,output.mean(): 2.649088, rec_loss:0.001734
scale 3:[375/1000], errG: -2.649709 ,output.mean(): 2.649709, rec_loss:0.001471
scale 3:[400/1000], errG: -2.573887 ,output.mean(): 2.573887, rec_loss:0.001740
scale 3:[425/1000], errG: -2.610643 ,output.mean(): 2.610643, rec_loss:0.001586
scale 3:[450/1000], errG: -2.663591 ,output.mean(): 2.663591, rec_loss:0.001634
scale 3:[475/1000], errG: -2.609681 ,output.mean(): 2.609681, rec_loss:0.001781
scale 3:[500/1000], errG: -2.357158 ,output.mean(): 2.357158, rec_loss:0.001847
scale 3:[525/1000], errG: -2.395380 ,output.mean(): 2.395380, rec_loss:0.001580
scale 3:[550/1000], errG: -2.395012 ,output.mean(): 2.395012, rec_loss:0.001535
scale 3:[575/1000], errG: -2.438524 ,output.mean(): 2.438524, rec_loss:0.001561
scale 3:[600/1000], errG: -2.376778 ,output.mean(): 2.376778, rec_loss:0.001743
scale 3:[625/1000], errG: -2.412447 ,output.mean(): 2.412447, rec_loss:0.001359
scale 3:[650/1000], errG: -2.368151 ,output.mean(): 2.368151, rec_loss:0.001510
scale 3:[675/1000], errG: -2.318002 ,output.mean(): 2.318002, rec_loss:0.001618
scale 3:[700/1000], errG: -2.297211 ,output.mean(): 2.297211, rec_loss:0.001407
scale 3:[725/1000], errG: -2.243704 ,output.mean(): 2.243704, rec_loss:0.001391
scale 3:[750/1000], errG: -2.037989 ,output.mean(): 2.037989, rec_loss:0.001588
scale 3:[775/1000], errG: -2.102337 ,output.mean(): 2.102337, rec_loss:0.001712
scale 3:[800/1000], errG: -2.064804 ,output.mean(): 2.064804, rec_loss:0.001697
scale 3:[825/1000], errG: -2.029608 ,output.mean(): 2.029608, rec_loss:0.001721
scale 3:[850/1000], errG: -2.045145 ,output.mean(): 2.045145, rec_loss:0.001382
scale 3:[875/1000], errG: -2.068577 ,output.mean(): 2.068577, rec_loss:0.001416
scale 3:[900/1000], errG: -1.974539 ,output.mean(): 1.974539, rec_loss:0.001745
scale 3:[925/1000], errG: -1.984378 ,output.mean(): 1.984378, rec_loss:0.001560
scale 3:[950/1000], errG: -2.061407 ,output.mean(): 2.061407, rec_loss:0.001265
scale 3:[975/1000], errG: -2.029964 ,output.mean(): 2.029964, rec_loss:0.001574
scale 3:[999/1000], errG: -2.030349 ,output.mean(): 2.030349, rec_loss:0.001473
Scale: 3, realD_loss: 1.836980 
alpha:20
scale 4:[0/1000], errG: 0.172649 ,output.mean(): -0.172649, rec_loss:0.347592
scale 4:[25/1000], errG: -0.540355 ,output.mean(): 0.540355, rec_loss:0.122936
scale 4:[50/1000], errG: -0.604219 ,output.mean(): 0.604219, rec_loss:0.055426
scale 4:[75/1000], errG: -0.683915 ,output.mean(): 0.683915, rec_loss:0.032206
