seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 2:[25/1000], errG: -0.937765 , errGfrozen : 0.063318, rec_loss:0.086450
scale 2:[50/1000], errG: -0.897930 , errGfrozen : 0.061843, rec_loss:0.046916
scale 2:[75/1000], errG: -0.836662 , errGfrozen : 0.061950, rec_loss:0.032645
scale 2:[100/1000], errG: -0.891089 , errGfrozen : 0.063403, rec_loss:0.032557
scale 2:[125/1000], errG: -0.890097 , errGfrozen : 0.065093, rec_loss:0.026149
scale 2:[150/1000], errG: -0.916562 , errGfrozen : 0.064552, rec_loss:0.021350
scale 2:[175/1000], errG: -0.942214 , errGfrozen : 0.064841, rec_loss:0.020588
scale 2:[200/1000], errG: -0.982047 , errGfrozen : 0.060756, rec_loss:0.015887
scale 2:[225/1000], errG: -1.154720 , errGfrozen : 0.065711, rec_loss:0.014820
scale 2:[250/1000], errG: -1.152491 , errGfrozen : 0.067371, rec_loss:0.014480
scale 2:[275/1000], errG: -1.097080 , errGfrozen : 0.063848, rec_loss:0.011164
scale 2:[300/1000], errG: -1.154310 , errGfrozen : 0.060878, rec_loss:0.010069
scale 2:[325/1000], errG: -1.179018 , errGfrozen : 0.062015, rec_loss:0.015104
scale 2:[350/1000], errG: -1.156978 , errGfrozen : 0.063717, rec_loss:0.016361
scale 2:[375/1000], errG: -1.078287 , errGfrozen : 0.061156, rec_loss:0.009568
scale 2:[400/1000], errG: -1.068964 , errGfrozen : 0.063253, rec_loss:0.015562
scale 2:[425/1000], errG: -1.096484 , errGfrozen : 0.064252, rec_loss:0.012307
scale 2:[450/1000], errG: -1.194914 , errGfrozen : 0.064768, rec_loss:0.016369
scale 2:[475/1000], errG: -1.174351 , errGfrozen : 0.060757, rec_loss:0.010966
scale 2:[500/1000], errG: -1.097585 , errGfrozen : 0.060059, rec_loss:0.009868
scale 2:[525/1000], errG: -1.197685 , errGfrozen : 0.065693, rec_loss:0.014743
scale 2:[550/1000], errG: -1.122759 , errGfrozen : 0.063532, rec_loss:0.009843
scale 2:[575/1000], errG: -1.049291 , errGfrozen : 0.061699, rec_loss:0.012740
scale 2:[600/1000], errG: -1.076990 , errGfrozen : 0.062086, rec_loss:0.012767
scale 2:[625/1000], errG: -1.119839 , errGfrozen : 0.063188, rec_loss:0.014955
scale 2:[650/1000], errG: -1.088413 , errGfrozen : 0.062244, rec_loss:0.012081
scale 2:[675/1000], errG: -1.035145 , errGfrozen : 0.061459, rec_loss:0.016460
scale 2:[700/1000], errG: -1.161127 , errGfrozen : 0.064032, rec_loss:0.012741
