seed-> 6219
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6219, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='08:05:06')
alpha:20
scale 3:[350/1000], errG: 0.944733 ,output.mean(): -0.944733, rec_loss:0.008686
scale 3:[375/1000], errG: 1.044650 ,output.mean(): -1.044650, rec_loss:0.013184
scale 3:[400/1000], errG: 1.033207 ,output.mean(): -1.033207, rec_loss:0.008230
scale 3:[425/1000], errG: 1.124222 ,output.mean(): -1.124222, rec_loss:0.011383
scale 3:[450/1000], errG: 1.128054 ,output.mean(): -1.128054, rec_loss:0.009376
scale 3:[475/1000], errG: 1.189042 ,output.mean(): -1.189042, rec_loss:0.008867
scale 3:[500/1000], errG: 1.241543 ,output.mean(): -1.241543, rec_loss:0.010215
scale 3:[525/1000], errG: 1.208585 ,output.mean(): -1.208585, rec_loss:0.010917
scale 3:[550/1000], errG: 1.200900 ,output.mean(): -1.200900, rec_loss:0.008576
scale 3:[575/1000], errG: 1.109389 ,output.mean(): -1.109389, rec_loss:0.009451
scale 3:[600/1000], errG: 1.033604 ,output.mean(): -1.033604, rec_loss:0.010803
scale 3:[625/1000], errG: 0.982308 ,output.mean(): -0.982308, rec_loss:0.007206
scale 3:[650/1000], errG: 0.958614 ,output.mean(): -0.958614, rec_loss:0.007531
scale 3:[675/1000], errG: 0.871410 ,output.mean(): -0.871410, rec_loss:0.009697
scale 3:[700/1000], errG: 0.927376 ,output.mean(): -0.927376, rec_loss:0.008276
scale 3:[725/1000], errG: 0.872702 ,output.mean(): -0.872702, rec_loss:0.007376
scale 3:[750/1000], errG: 0.839938 ,output.mean(): -0.839938, rec_loss:0.007980
scale 3:[775/1000], errG: 0.838716 ,output.mean(): -0.838716, rec_loss:0.009329
scale 3:[800/1000], errG: 0.900111 ,output.mean(): -0.900111, rec_loss:0.008625
scale 3:[825/1000], errG: 0.768168 ,output.mean(): -0.768168, rec_loss:0.007295
scale 3:[850/1000], errG: 0.730218 ,output.mean(): -0.730218, rec_loss:0.009708
scale 3:[875/1000], errG: 0.760467 ,output.mean(): -0.760467, rec_loss:0.006974
scale 3:[900/1000], errG: 0.770153 ,output.mean(): -0.770153, rec_loss:0.006576
